id,outstanding_bridge,current_cash,verified_receivables,monthly_burn,runway_months,past_investment_count,recommended_option
01175348-3f10-427c-9c91-b1319390305c,15138622.55,27781907.87,27358786.88,4303132.36,6.46,0,A
a2418ce5-e1ed-4c2d-bf97-4092b25ade8b,21829340.15,10551821.5,14888595.96,3424572.19,3.08,1,D
3c4bff2e-b44d-4150-bcd3-545ef7c9929f,28571309.96,8453638.26,43839071.79,4740078.29,1.78,1,A
172c8e26-0be9-4f21-9295-debe99b80879,56577617.62,2035653.31,86347712.14,12155757.43,0.17,0,A
4f6ece04-d32e-468d-870b-702c2fdfcba0,31970498.77,4460320.07,38327070.46,6935289.02,0.64,1,D
85ee798c-933d-4dea-a16a-d0926e47131a,37675359.58,5956105.98,60496145.9,12709548.53,0.47,3,A
e269eac4-19a8-41a6-b03f-569a6af42446,41119896.35,7190831.17,50440629.69,6485247.28,1.11,2,C
7114de35-e532-45ad-903f-a429e97dc1a7,34161672.61,17737029.68,72094618.02,7053865.41,2.51,2,A
a0564dbc-6e2c-456f-8803-17588a7a7862,19532919.77,4026953.85,5472627.27,5739374.73,0.7,1,D
2be218b7-b704-4a3b-8f85-4acaff864fd7,14869500.5,10860882.65,21570306.72,4304714.59,2.52,3,D
4d76f48a-b3b2-458b-b0a5-ccac7a63651a,30959094.41,5048791.03,7182975.84,5623027.71,0.9,0,D
07b48b11-c199-456b-a2b5-c0d4306729e7,38357251.08,12089973.63,63613541.72,8256703.67,1.46,0,A
9e3f56bc-d846-4dca-a876-265e2cb59f5c,9506439.67,12487520.36,7526742.26,2276262.81,5.49,2,B
f80545e7-d76b-4e51-a6cf-e98140119205,12628332.24,11772052.38,27065973.65,2818236.08,4.18,1,A
11b04c77-faa3-40c4-943b-82feedf196cd,45219238.57,4357494.92,41548675.41,11887050.5,0.37,2,C
a24862a4-d0e2-46fe-b6e8-3d36fac7c3cf,13017054.09,28004977.8,17126574.66,13140032.89,2.13,1,D
b6a7b43a-4eac-4985-86de-fbf8a4075463,54353224.61,20972383.47,110113211.54,5361950.92,3.91,2,A
ef70a813-957d-46d1-91a7-e1f31f4bfe14,46185877.14,15424538.64,93052457.17,3568950.44,4.32,0,A
425030e8-4b96-45f9-896b-f71f253e7c2c,24994738.43,29561484.45,33511507.34,4819010.33,6.13,3,B
c4a96ea4-4889-4e67-a620-c67eb34f5082,13330311.75,12466125.99,10274061.69,7259646.45,1.72,2,C
43c8245a-9199-4e87-bd14-01cd63ad1628,74211411.04,29754421.89,163078566.01,3053814.99,9.74,0,A
767111cd-8158-4a54-a0f7-820b0b3658cf,39748723.95,1987983.36,79243409.13,13853349.76,0.14,0,A
383aee3d-a5ad-4855-aa8f-401b2a2ab5ef,11988574.37,13253273.62,25393102.25,4457351.31,2.97,2,A
33c1f5ed-ee53-446a-81b8-1ddf677bb8fc,41709491.78,14040132.94,46023286.01,6472982.25,2.17,1,D
b1b20068-c39e-48ee-97be-038f688ecde7,26301968.43,4879161.11,29285752.64,3700028.12,1.32,2,C
20995d1f-e1d4-4db1-88c9-9be538e60b98,38715917.31,24970054.91,64268297.28,9307876.42,2.68,1,D
de3441fc-b4d4-4b8e-805f-deed3f5703e4,25058851.3,6601570.74,54068281.32,2025892.82,3.26,0,A
90852663-a764-4581-b19a-2b365353781e,23852340.46,4755334.38,17360764.04,8196789.78,0.58,1,D
c1830ef4-ad79-4d7f-b04b-03633b5e0b12,15728451.82,27852277.07,5010083.34,4718440.98,5.9,2,B
c8a0c948-e2d9-4c7e-b98a-9f7050db2a7c,21147025.18,7481392.25,29924225.11,5491721.27,1.36,1,D
55773c7e-48bd-4790-b451-cbe538531211,19220656.67,12411132.94,37838765.56,2668745.99,4.65,2,A
cdb35fbc-729e-4524-b170-14bbde285afc,14636308.02,51757579.81,28262371.36,2741141.31,18.88,1,A
a7ce151d-99cc-4b2e-ab01-bd6be27ff887,15801059.19,8259540.48,16807057.07,8117993.71,1.02,0,D
3a891e86-7d71-4c43-871f-65719a2f5a64,12656963.02,5120433.19,13243270.57,9202997.07,0.56,2,C
19c3cb29-f6c8-439b-b26b-5b670883fc0f,42729139.8,6835396.04,66527133.57,4457583.55,1.53,2,A
66ecff9c-3707-4d8b-8129-1fd6c3928952,57511838.48,9865621.88,43474949.0,4301807.41,2.29,2,D
ec412002-cfd1-46cb-b2c4-a87f4a274d63,21707031.79,2883251.98,32211067.21,11910722.52,0.24,3,A
a6a384f8-af0d-4589-a1b0-98ea702b5e0c,33308501.03,13618465.64,16154054.84,10362375.2,1.31,1,D
d5ed52f9-b840-4a5a-864d-748463a5c4b0,20933729.93,10269738.16,29764980.44,11556606.05,0.89,1,D
9ace9537-b292-4354-b74f-9af0f0a06da7,15512485.69,7400289.74,33295456.43,5084035.58,1.46,1,A
2b6d7bc5-9870-4931-8a24-0d37715011aa,26832731.32,8527884.49,38702669.92,6882159.75,1.24,1,A
55c97309-dfb2-4b76-926f-d32764d3ab1d,28738468.62,2045807.82,57680233.93,7590286.81,0.27,2,A
8e1f03b0-5fd9-4ee1-83b5-5491e4c72a6c,66237882.27,2456427.27,60970170.24,4069033.3,0.6,4,C
89d00af1-518c-4d1e-ada9-b21b924a81f3,37809550.18,9369077.7,48752890.46,6966242.72,1.34,0,D
7433836a-bf80-4f77-99d5-0d08fa377803,16508194.14,3495167.44,18292058.69,2832935.91,1.23,0,D
c702b076-efa7-4874-9e99-2bf964269e13,13497121.08,2330124.56,4400635.08,5358546.64,0.43,1,D
8ef9b67a-0dba-44b6-b178-25a866e83743,10164578.71,26339530.39,15812379.88,1958455.39,13.45,2,A
03073235-1d66-45cf-9e29-cc4992ec884f,17464224.1,5872877.98,8908481.56,2156984.55,2.72,0,D
635e6182-e9f7-4306-a1fe-a587988be854,37425359.37,14785524.51,9132890.12,5260580.06,2.81,2,D
2e60532a-4e33-4d87-9edf-2f501967d702,16783164.68,12744560.39,30159729.71,3470732.36,3.67,1,A
86e23568-3a27-42e1-ac5c-0af9853a0b77,22265305.45,2907106.47,42040965.26,8797507.96,0.33,1,A
fcdb07d9-6097-4ebd-a815-714a07386efb,28372066.92,49349388.39,21734812.02,5671880.4,8.7,1,B
3b960c41-d9e9-4bd1-ad02-89f6036fb32f,39113757.71,11538748.67,28713807.25,15559444.37,0.74,1,D
ef90351e-b3eb-4f64-9402-3593da3b1c33,16782016.71,14637702.38,5095906.32,3142589.01,4.66,1,B
f493af47-2b49-41db-9f89-b9ff9ad50fe6,17124868.06,8195381.46,28705351.1,4931117.96,1.66,3,A
0260b806-a336-405f-ac9a-d5a3a8d0b250,21848857.62,22998577.33,14114132.66,1563455.58,14.71,0,B
61e32b56-7fe7-465c-9116-d8788948fc1a,19384707.54,2539673.72,15330635.7,7821170.26,0.32,1,D
7ac622c0-ec06-4472-97bc-53428ea154da,31109913.26,7378562.04,50427599.3,9685948.31,0.76,3,A
b7bde1cb-a36c-4428-b531-a3afb47251c5,25554595.25,5946650.87,38872181.43,3923700.28,1.52,1,A
ca2b1c02-7c7f-466e-8f28-d4447c4bf48e,8862786.55,7157168.4,4865374.8,3251733.88,2.2,0,D
ffdacb2b-949b-4163-a4f5-a6b33c15adcf,17330024.56,3793210.89,15905859.37,5157411.73,0.74,1,D
8c383eff-cf69-4d57-a7ed-314f9412738b,73844030.56,3866215.61,107812041.93,12877219.68,0.3,0,D
95459905-53ce-44fa-aace-637b49731b61,29570126.6,24595006.89,14063960.48,4051386.07,6.07,0,B
1d303297-525f-4e56-8167-ac733bf49894,46095074.03,7206753.96,46543019.07,3842628.53,1.88,1,D
d89a225b-1afd-4ef9-8c0b-d3968ed582b9,31017717.64,3767782.9,30930528.45,5194765.01,0.73,1,D
228ae03e-f351-4cc5-bc62-6db11cb78f6d,28095665.76,16447354.18,23577227.81,11323474.54,1.45,0,D
aca82170-52c1-4857-9f7e-1ae84b9824ce,41950492.32,14193205.83,49721987.3,11696236.09,1.21,0,D
77e09c44-25f0-43b3-bdd3-f60b16a7bfbe,20651930.57,6854706.82,14575414.11,3526468.75,1.94,2,C
15bb9ebd-1ca8-4e03-ad8a-d98d126706df,8269059.12,1256470.88,2378384.31,2500503.19,0.5,1,D
96da62fc-037b-482d-ac6f-f27b418b35bf,37671092.33,15254890.93,69548720.17,3881659.31,3.93,1,A
d6b80e4e-76dc-460c-a26e-f287c10122da,12519135.84,17232217.89,20882495.38,6333027.37,2.72,1,A
30216f37-e260-4d6f-95fd-6dbfdbba002f,19184763.61,1913187.38,23385462.91,2977219.27,0.64,3,C
f2d42acf-7c63-49d8-b1b9-04292395ad9b,15470464.27,10368140.18,3397706.46,10746016.3,0.96,2,C
02c1e288-ba7c-4160-a60a-6c14ab6fc044,28516801.99,14865591.92,41775138.35,1354004.5,10.98,0,B
5ce1a7e7-d2d6-45cc-9e47-a69c41990c53,19938288.89,10479525.56,36535605.13,8503041.79,1.23,1,A
c208dfc2-6c72-4e1a-8b01-fc13e8f7fa8a,48652769.4,1000000.0,74900159.6,3511686.95,0.28,1,A
ba37f64b-a38e-4923-a178-84f3c4957fab,42216945.1,8926782.73,63199963.82,4930551.62,1.81,3,C
e272dd9c-be62-4e0b-81d3-89d4e710bef6,13822421.02,8692622.54,7789437.03,7563848.28,1.15,1,D
3ef40b33-8a3b-4551-8852-c4037b219bef,29573904.9,12826396.13,54565335.41,4602482.09,2.79,1,A
c18e8626-1a7b-4bef-9061-d0a61747cd27,13385772.26,5326669.78,28176767.26,5686689.57,0.94,1,A
86046112-3f96-45a1-87ae-738d157bd3f8,11269385.73,10386909.13,2849283.93,5879496.96,1.77,1,D
c492194e-6cc3-44f0-9d39-1670ee872a81,23123257.35,8056191.81,15081944.24,4619817.57,1.74,1,D
8b11ba17-63a8-49bd-8c4c-5f893fb44a0c,27198992.57,16917340.95,44003918.99,5814738.27,2.91,0,A
f9285fc4-d81a-418b-8b45-07768c8aa881,15763660.95,11675208.91,7531165.69,3362595.93,3.47,1,D
9b84c225-40e1-4799-9aec-3b641cec2ab2,26737729.85,15544597.58,46260838.97,6741688.29,2.31,0,A
63bd1ccc-83d4-4571-91ce-6fc4e600d1df,17173454.61,2274569.42,16671209.08,4158673.88,0.55,0,D
0b726c9d-0b6a-4a0d-a535-eacf53125ae0,5895462.47,9999950.24,5884240.41,2090125.0,4.78,2,B
ff393de2-7c45-4586-a448-1d71bf6f1918,26724675.67,13347444.89,8942313.26,3061993.12,4.36,3,B
e6f41a20-e125-4786-b897-1482cb951126,12274503.72,8537280.12,7521687.66,4519800.32,1.89,1,D
0bbce636-32ac-48c7-b7c7-e95e0db7fbfb,110448827.13,11944142.86,62117452.18,6150014.35,1.94,0,D
c49b0114-c63d-4ed0-bc5e-0bd5b80b69ac,14159352.26,4572031.55,13489791.46,3166476.6,1.44,0,D
4fa4bb55-4017-4070-9c87-377ba32a9b4c,21176800.38,7789582.84,8335911.58,8796443.48,0.89,1,D
683a53ea-8d19-4988-8c7c-1191ed46c541,10405333.76,6385377.47,14289108.1,9530990.13,0.67,1,D
f9744e71-d6f3-453b-aad5-35a723b6d30a,42293909.36,2187392.86,49765509.01,5061588.91,0.43,1,D
89f0df2e-5c3e-461f-a754-49bfff2c2c89,16891771.05,2871009.99,36678385.34,5462459.45,0.53,1,A
95e55b47-8cd3-4915-a4cc-c701a30c0ac0,34510896.17,3060311.21,25520511.3,2902492.57,1.05,2,C
9000eadd-94cf-49cc-b37f-9a2e159da6ff,24776328.41,15796318.3,54000807.22,7834690.43,2.02,0,A
4f77fe87-52b8-4b14-b553-08a33de90e67,55112261.06,23370712.37,100749938.46,3693540.2,6.33,1,A
dfe0a544-005d-4a71-87af-a5235dc5cc8d,17213711.19,19735094.57,37280409.02,6212041.88,3.18,0,A
69ffdeb0-266b-42e0-8759-65cf7b348cbc,14318652.2,9103314.59,10468176.19,5657692.43,1.61,0,D
99423581-bf6a-449a-a893-b6f2564d92bc,21278664.59,3590148.65,39895637.97,4097526.44,0.88,1,A
77b404ea-dc27-4ec5-97d1-b9c50ab95ba7,74138414.78,10409414.71,133985824.42,4002722.84,2.6,1,A
d7675c5f-c54e-4eb3-9874-ffbcf44368f2,34609435.42,12486099.61,63088583.47,2213217.77,5.64,1,A
c62ea74f-2a53-4afe-8117-82b952790647,10287042.7,2486644.04,4716597.01,3734239.46,0.67,0,D
0a856b2d-327d-4a9f-a8aa-db4e73fc1f9f,35733988.67,12164669.31,35129251.65,3598440.79,3.38,2,D
32b96048-9e85-4ba6-a903-b23a61432a4e,32119445.84,10971280.35,48611148.24,4544732.27,2.41,3,A
9bc7d754-8375-4c4a-bb5d-5a39ab654124,21163836.27,5658837.87,16143893.28,2897611.0,1.95,4,D
fcdd3d3f-72b1-4f3b-be52-33b8e340f6cb,31446745.01,12164150.97,17551595.9,13474628.97,0.9,0,D
91170ec0-d4fb-419a-88f8-8b13e63f0d3f,20246986.67,3723481.96,33346117.67,15600381.58,0.24,1,A
892e4882-e166-4a40-95ec-0c024906947e,10192176.86,6786043.54,2073529.65,9022978.05,0.75,4,C
9fac891f-791d-45a3-8452-49b11b2bf077,23284266.88,18818177.32,49478666.83,10188853.56,1.85,1,A
8d15be7f-3d10-45d6-b3ad-63f6dbd2ff96,86700134.88,12105415.25,139586842.15,4358251.16,2.78,2,A
d77ae225-0985-4ae8-a776-d5be75f153cd,21877343.28,6939201.82,34305935.58,4437247.36,1.56,0,A
62a5f478-9a36-495d-ac68-b21a359d256c,17446582.28,27622843.88,23645002.22,6188399.13,4.46,2,B
2143d65c-7c19-47c8-a3ee-dac1bd99af85,37854218.45,14222028.46,56118994.68,5789465.29,2.46,3,A
9d5cc358-2641-4324-9e93-af8eb345d569,29156003.3,4294822.56,33278528.26,4703064.75,0.91,1,D
6cfdebf1-2faa-48c6-868f-a8603925c9dc,26293079.65,8656796.6,10359477.69,5314543.81,1.63,2,C
4e1652b7-1044-43a2-9722-0dedfa248d47,50219982.11,5496566.04,27560585.62,3732152.38,1.47,1,D
d79ab245-31d9-474a-89fd-0f1ebbbbcecc,67978850.6,5836803.34,67409303.14,5150055.22,1.13,0,D
6fa1dc0f-e1f5-48a2-a422-3bcf601dfdf2,9169331.93,12642111.99,15938462.08,4170510.75,3.03,3,A
4c26ff85-3216-4ef7-bdee-1a129be9e0d6,28634334.46,10072306.41,57551832.98,5197398.52,1.94,1,A
d6ecb4f2-1b9b-4148-a0a3-3e1962e80193,16792909.8,52093412.47,3771296.38,22145953.96,2.35,3,D
1b310577-48ef-470f-ab2c-5a619a0e7770,16751728.04,7627596.43,19182560.22,2267123.15,3.36,1,D
a053bed1-0680-47a1-b83c-a7e4773766e7,12967540.63,4636079.13,17427113.95,9680761.27,0.48,2,C
f9c9be96-b507-4999-aa45-c03392f26467,13006437.31,22629370.91,14929909.61,5345170.95,4.23,3,B
cac4a1eb-857c-4716-b5da-7ad135de3304,20317062.85,16327094.63,42153620.53,2845590.98,5.74,2,A
83d3e414-23ec-4dea-9efd-699a2367fd64,40274281.6,3932784.98,18812242.85,4157029.97,0.95,2,C
469ef37e-03e3-4d93-8896-cc392e0be64a,60824856.38,68170409.44,101242458.37,6191546.15,11.01,0,A
3567b295-d239-41cc-a43a-7fa2951f8aab,11844178.19,23353741.03,9762768.68,13658915.51,1.71,1,D
ba4b6713-d81a-46b3-9c47-b6e4e4cbc851,22427642.86,2301564.57,32045537.01,2457224.07,0.94,2,A
6d215956-8b55-4a53-8c7c-244c9c7bc007,16351525.29,13793827.27,13576983.59,20738180.77,0.67,2,C
0d8fe50c-8d54-4f1f-b42c-9de4ba8aec40,18865055.93,4215549.59,15816635.4,7689343.34,0.55,3,C
f2fbffda-a8c3-4d60-bb9c-b70a0dddf22f,23978077.63,10894380.73,18711976.41,1748904.81,6.23,1,B
971fcc1c-dfcb-4d86-a0a0-1f9b9f7055f1,45047690.99,14037800.43,20029076.75,19045929.55,0.74,3,C
6c2b1451-3a7c-419c-b204-20f1565f3a41,35121868.97,15797498.44,8057092.37,6427366.25,2.46,1,D
92e470c5-24bc-4285-bbb4-3fe7b6e39311,34039696.07,5139360.39,43076822.25,11526455.82,0.45,1,D
899d8f42-5b9b-470e-b4fc-9ffccccf3ab5,27567914.41,14891988.78,32852746.62,1668239.46,8.93,2,B
8cbfb8e1-d356-4afc-aaef-1fd3982c190a,24016917.56,8372929.26,39366152.32,3353132.96,2.5,2,A
23ab8b7a-7678-4839-b018-ecef659e2a89,15673454.15,4758946.45,30889386.45,3824130.3,1.24,0,A
0faa2ad9-ac7d-4945-b998-91968aa4090b,19671490.1,14176081.45,15915913.58,2952373.36,4.8,2,B
1154cdb9-d17d-4bee-96a4-3aeacaafcdcb,14551003.93,5368130.84,30953872.54,13467259.18,0.4,0,A
7bb5998a-a0b7-487c-a54d-2b9f2518fe00,60329521.0,16794671.13,80828228.88,4349053.59,3.86,3,B
1966812a-8802-4cef-a664-d5130dd1f860,31724385.49,6216423.03,67812720.11,6774301.31,0.92,3,A
5b9a5e6e-7e8b-423c-bcc7-bd2ba55a657a,12869148.4,12886813.32,9420974.6,10174671.95,1.27,1,D
8e773cc3-8c58-46b8-bc08-f95f1bf31568,24670862.88,8589459.1,22910265.64,5694041.13,1.51,1,D
86550314-929d-4054-b3e0-6b440312b4e8,28689654.42,4040304.96,29160589.34,4475699.91,0.9,0,D
d0c84923-43f1-45c9-9cbe-0562a5a26f31,15766479.46,8326775.0,4314326.25,7618095.6,1.09,2,C
89946624-cf85-434d-b3c7-b376b52de2b0,31451413.73,2323399.93,53988808.93,9623817.57,0.24,1,A
c934c04e-7fc1-4b32-a045-aa87acd5bb55,5570941.42,11976336.13,5298146.33,7891266.88,1.52,0,D
91c98200-98fc-4db7-bc96-3c478ec36f59,14198177.03,3678053.4,17605879.63,2382088.3,1.54,2,C
f32ef3cf-5b8c-4486-86af-fbf309dd7b19,21876264.21,5759819.73,35392785.75,9688917.12,0.59,2,A
41673142-9a15-4fc0-842a-1aaba2dcc831,10141738.59,7958107.58,4098296.3,4068139.01,1.96,2,C
45046c5f-c5a5-4592-9efb-af1c77de109d,14044456.76,14948817.88,19526084.73,4790757.78,3.12,0,D
67be7913-be8d-4eca-af81-fa58bdd87a7d,19301178.07,16594709.99,36089261.99,4670099.29,3.55,3,A
36f578f8-9b91-4d5d-a11d-fa37892cc572,83655614.19,10806405.19,143782975.47,10110126.27,1.07,0,A
b0b3ca27-51ff-493f-924b-265e4ea0901d,17476263.1,6552928.9,8508129.11,5605887.51,1.17,1,D
827363bf-55fb-4196-a5a8-f693e93388c8,24833222.94,6497308.54,5514468.49,7214205.48,0.9,1,D
cb8289fe-2a63-4798-85be-b6e46ef9618a,66403638.69,5332751.91,97695742.16,6277440.94,0.85,2,A
5b8ab12e-897b-4524-93ab-418551355b43,25136864.08,3977074.53,46029420.75,4996669.74,0.8,0,A
81e6c852-15bc-47b2-b2b4-f1fbe83e777f,55977783.57,2237378.71,12664863.44,2805024.31,0.8,0,D
f2f5195f-4ecc-4fed-adc5-a34e1d97256a,79782598.18,1418937.96,19180658.61,5201264.74,0.27,2,C
80981abd-f87d-460d-94d1-2c8ef21d8449,54122051.07,9136755.76,99140966.1,7157814.06,1.28,0,A
4f2a3587-1aff-4c99-aa9c-0d4da910b702,11114898.32,12382204.01,5814722.64,14236581.0,0.87,2,C
bff37008-a0ff-4960-9292-e6f4b36eb3d8,16852907.58,13693858.2,4961768.99,5518710.0,2.48,2,D
a393997e-13f6-4c96-9c3b-8320b7b52173,42338495.29,8944901.72,30173444.62,5801835.8,1.54,3,C
9d3651dc-f3b8-4331-bda2-2abeedf0dae3,28291912.11,19934009.82,48839904.86,8688990.4,2.29,2,A
f3fe76f8-b111-47f4-981e-cfd5ac25349b,23743825.25,8307178.22,17162319.33,4794198.47,1.73,1,D
